latitude,longitude,time,u_wind,relative_humidity
-90.0,-180.0,180.0,0.9990741151022301,60.0
-88.18181818181819,-180.0,180.0,0.9985711236292195,60.0
-86.36363636363636,-180.0,180.0,0.9970626556799635,60.0
-84.54545454545455,-180.0,180.0,0.9945502301538202,60.0
-82.72727272727273,-180.0,180.0,0.991036376850325,60.0
-80.9090909090909,-180.0,180.0,0.986524633921898,60.0
-79.0909090909091,-180.0,180.0,0.9810195443112244,60.0
-77.27272727272728,-180.0,180.0,0.9745266511768951,60.0
-75.45454545454545,-180.0,180.0,0.9670524923119176,60.0
-73.63636363636364,-180.0,180.0,0.9586045935607116,60.0
-71.81818181818181,-180.0,180.0,0.9491914612412218,60.0
-70.0,-180.0,180.0,0.9388225735797768,60.0
-68.18181818181819,-180.0,180.0,0.9275083711673191,60.0
-66.36363636363636,-180.0,180.0,0.9152602464466139,60.0
-64.54545454545455,-180.0,180.0,0.9020905322410259,60.0
-62.72727272727273,-180.0,180.0,0.8880124893364112,60.0
-60.90909090909091,-180.0,180.0,0.8730402931286302,60.0
-59.09090909090909,-180.0,180.0,0.8571890193501256,60.0
-57.27272727272727,-180.0,180.0,0.8404746288899373,60.0
-55.45454545454545,-180.0,180.0,0.8229139517224402,60.0
-53.63636363636364,-180.0,180.0,0.8045246699609875,60.0
-51.81818181818182,-180.0,180.0,0.78532530005352,60.0
-50.0,-180.0,180.0,0.7653351741380737,60.0
-48.18181818181818,-180.0,180.0,0.7445744205769552,60.0
-46.36363636363637,-180.0,180.0,0.7230639436891867,60.0
-44.54545454545455,-180.0,180.0,0.7008254027016292,60.0
-42.72727272727273,-180.0,180.0,0.6778811899399767,60.0
-40.909090909090914,-180.0,180.0,0.6542544082815825,60.0
-39.09090909090909,-180.0,180.0,0.6299688478928203,60.0
-37.27272727272727,-180.0,180.0,0.6050489622744026,60.0
-35.45454545454545,-180.0,180.0,0.579519843638779,60.0
-33.63636363636364,-180.0,180.0,0.5534071976444049,60.0
-31.81818181818182,-180.0,180.0,0.5267373175123221,60.0
-30.0,-180.0,180.0,0.49953705755111494,60.0
-28.181818181818187,-180.0,180.0,0.4718338061168971,60.0
-26.363636363636367,-180.0,180.0,0.44365545803555867,60.0
-24.545454545454547,-180.0,180.0,0.4150303865150411,60.0
-22.727272727272734,-180.0,180.0,0.38598741457592245,60.0
-20.909090909090907,-180.0,180.0,0.3565557860290778,60.0
-19.090909090909093,-180.0,180.0,0.32676513602964175,60.0
-17.27272727272728,-180.0,180.0,0.2966454612369185,60.0
-15.454545454545453,-180.0,180.0,0.2662270896102883,60.0
-13.63636363636364,-180.0,180.0,0.23554064987152482,60.0
-11.818181818181827,-180.0,180.0,0.20461704066426672,60.0
-10.0,-180.0,180.0,0.17348739944170327,60.0
